r	g_r
0.0100004	0
0.0300013	0
0.0500021	0
0.070003	0
0.0900038	0
0.110005	0
0.130006	0
0.150006	0
0.170007	0
0.190008	0
0.210009	0
0.23001	0
0.250011	0
0.270011	0
0.290012	0
0.310013	0
0.330014	0
0.350015	0
0.370016	0
0.390017	0
0.410017	0
0.430018	0
0.450019	0
0.47002	0
0.490021	0
0.510022	0
0.530023	0
0.550023	0
0.570024	0
0.590025	0
0.610026	0
0.630027	0
0.650028	0
0.670028	0
0.690029	0
0.71003	0
0.730031	0
0.750032	0
0.770033	0
0.790034	0
0.810034	0
0.830035	0
0.850036	0
0.870037	0
0.890038	0.00507773
0.910039	0.0642006
0.930039	0.25839
0.95004	0.646046
0.970041	1.14462
0.990042	1.76611
1.01004	2.24069
1.03004	2.47243
1.05004	2.5126
1.07005	2.53152
1.09005	2.36802
1.11005	2.25045
1.13005	2.06211
1.15005	1.9502
1.17005	1.76342
1.19005	1.60048
1.21005	1.53797
1.23005	1.31986
1.25005	1.22311
1.27005	1.17886
1.29005	1.08792
1.31006	1.02768
1.33006	0.929828
1.35006	0.871705
1.37006	0.838998
1.39006	0.819911
1.41006	0.759701
1.43006	0.786521
1.45006	0.730887
1.47006	0.70352
1.49006	0.676097
1.51006	0.64676
1.53006	0.669106
1.55007	0.661874
1.57007	0.655888
1.59007	0.686151
1.61007	0.673188
1.63007	0.715838
1.65007	0.763219
1.67007	0.763482
1.69007	0.8082
1.71007	0.825444
1.73007	0.830049
1.75007	0.844186
1.77008	0.856309
1.79008	0.873389
1.81008	0.895848
1.83008	0.975035
1.85008	1.04317
1.87008	1.04434
1.89008	1.07212
1.91008	1.05223
1.93008	1.09904
1.95008	1.13186
1.97008	1.14936
1.99008	1.19749
2.01009	1.21404
2.03009	1.26049
2.05009	1.23248
2.07009	1.2457
2.09009	1.2251
2.11009	1.19757
2.13009	1.14788
2.15009	1.14073
2.17009	1.13717
2.19009	1.11603
2.21009	1.05855
2.23009	1.06321
2.2501	1.03382
2.2701	1.0299
2.2901	1.02606
2.3101	0.959787
2.3301	0.969191
2.3501	0.958194
2.3701	0.96658
2.3901	0.935761
2.4101	0.897353
2.4301	0.873787
2.4501	0.892645
2.4701	0.878847
2.49011	0.873314
2.51011	0.869992
2.53011	0.901307
2.55011	0.895243
2.57011	0.899024
2.59011	0.888137
2.61011	0.918572
2.63011	0.942389
2.65011	0.950982
